"ID","Specializzazione","Tipologia di ospedale","Età","Anni di esperienza in chirurgia spinale","Ospedale di attività","Regione","Bacino di utenza afferente all'Ospedale","Numero di interventi cervicali annui","Principale patologia trattata","Riduzione del dolore post operatorio","Mobilizzazione più precoce del paziente","Aumento del tasso di artrodesi","Il paziente ""se lo aspetta""","Tutela medico legale","Riduzione del tasso di cifotizzazione post chirurgica","Letteratura","Esperienza personale","Insegnamento da altri colleghi","Abitudini locali","Tutela medico legale11","Età avanzata del paziente","Pregressi interventi cervicali in anamnesi","Scarsa qualità dell'osso","Età avanzata del paziente2","Pregressi interventi cervicali in anamnesi2","Scarsa qualità dell'osso2","Intervento","Collare"
1,"Neurochirurgia","Altro",59,34,"Pubblico","Sud e isole","100.000-500.000",3.80666248977032,"Traumatica","si",NA,"si",NA,NA,NA,"si","si",NA,NA,NA,"si","si","si",NA,NA,NA," discectomia e artrodesi anteriore DI 1 LIVELLO, SENZA placca ","rigido"
2,"Neurochirurgia","Universitario",36,4,"Pubblico","Sud e isole","100.000-500.000",3.91202300542815,"Elettiva","si",NA,NA,NA,NA,NA,NA,NA,"si",NA,NA,"no","no","si","si","no","si"," discectomia e artrodesi anteriore DI 1 LIVELLO, SENZA placca ","morbido"
3,"Neurochirurgia","Universitario",48,2,"Pubblico","Centro","100.000-500.000",2.484906649788,"Traumatica","si","si",NA,NA,NA,NA,NA,NA,"no","no",NA,NA,NA,"si",NA,NA,"si"," discectomia e artrodesi anteriore DI 1 LIVELLO, SENZA placca ","morbido"
4,"Neurochirurgia","Policlinico",42,16,"Pubblico","Nord",">1.000.000",3.68887945411394,"Elettiva","si","si","si","no","si","si","si","si","si","si","si","no","no","si","si","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, SENZA placca ","rigido"
5,"Neurochirurgia","Universitario",48,10,"Pubblico","Nord","500.000-1.000.000",4.38202663467388,"Elettiva","si","no","no","no","no","no","no","si","si","si","no","no","si","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, SENZA placca ","morbido"
6,"Neurochirurgia","Altro",41,3,"Convenzionato","Sud e isole","100.000-500.000",4.14313472639153,"Elettiva","no","si","si","no","no","si","no","si","si","si","no","no","si","si","no","no",NA," discectomia e artrodesi anteriore DI 1 LIVELLO, SENZA placca ","morbido"
7,"Neurochirurgia","Policlinico",65,30,"Pubblico","Centro","500.000-1.000.000",4.24849524204936,"Elettiva","si","si","si","no","no","no","no","si","si","si","no","no","si","si","si","si","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, SENZA placca ","rigido"
8,"Neurochirurgia","Altro",68,40,"Convenzionato","Nord","500.000-1.000.000",3.68887945411394,"Elettiva","si","no","si","no","si",NA,"no","si","si","si","si","no","si","si","si","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, SENZA placca ","morbido"
9,"Neurochirurgia","Altro",74,40,"Convenzionato","Sud e isole","100.000-500.000",2.99573227355399,"Elettiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," discectomia e artrodesi anteriore DI 1 LIVELLO, SENZA placca ","nessun collare"
10,"Neurochirurgia","Altro",43,12,"Pubblico","Nord","500.000-1.000.000",3.40119738166216,"Elettiva","no","si","si","si","no","si","no","si","si","no","no","no","si","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, SENZA placca ","rigido"
